game id,Game Name,Provider,link
00000004-0000-5000-9000-000000000129,The Explorers,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000129.png
00000004-0000-5000-9000-000000000130,The Great Egypt,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000130.png
00000004-0000-5000-9000-000000000131,The Secrets of London,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000131.png
00000004-0000-5000-9000-000000000132,The Story of Alexander,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000132.png
00000004-0000-5000-9000-000000000133,The Story of Alexander 2,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000133.png
00000004-0000-5000-9000-000000000134,The White Wolf,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000134.png
00000004-0000-5000-9000-000000000135,Thumbelina's Dream,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000135.png
00000004-0000-5000-9000-000000000136,Ultimate Hot,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000136.png
00000004-0000-5000-9000-000000000137,Vampire Night,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000137.png
00000004-0000-5000-9000-000000000138,Venezia D'oro,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000138.png
00000004-0000-5000-9000-000000000139,Versailles Gold,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000139.png
00000004-0000-5000-9000-000000000140,Virtual Roulette,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000140.png
00000004-0000-5000-9000-000000000141,Volcano Wealth,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000141.png
00000004-0000-5000-9000-000000000142,Witches' Charm,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000142.png
00000004-0000-5000-9000-000000000143,Wonder Tree,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000143.png
00000004-0000-5000-9000-000000000144,Wonderheart,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000144.png
00000004-0000-5000-9000-000000000145,Zodiac Wheel,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000145.png
00000004-0000-5000-9000-000000000146,American Virtual Roulette,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000146.png
00000004-0000-5000-9000-000000000147,Drops of Water,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000147.png
00000004-0000-5000-9000-000000000148,Candy Palace,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000148.png
00000004-0000-5000-9000-000000000149,Flaming Hot 6 Reels,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000149.png
00000004-0000-5000-9000-000000000150,Fruits and Gold,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000150.png
00000004-0000-5000-9000-000000000151,Greek Fortune,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000151.png
00000004-0000-5000-9000-000000000152,Power Hot,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000152.png
00000004-0000-5000-9000-000000000153,Hot Keno,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000153.png
00000004-0000-5000-9000-000000000154,Superb Keno,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000154.png
00000004-0000-5000-9000-000000000155,100 Power Hot,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000155.png
00000004-0000-5000-9000-000000000156,20 Bulky Fruits,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000156.png
00000004-0000-5000-9000-000000000157,20 Power Hot,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000157.png
00000004-0000-5000-9000-000000000158,40 Bulky Fruits,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000158.png
00000004-0000-5000-9000-000000000159,40 Power Hot,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000159.png
00000004-0000-5000-9000-000000000160,Art of Gold,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000160.png
00000004-0000-5000-9000-000000000161,Aztec Forest,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000161.png
00000004-0000-5000-9000-000000000162,Phoenix Star,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000162.png
00000004-0000-5000-9000-000000000163,27 Eternal Hot,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000163.png
00000004-0000-5000-9000-000000000164,40 Bulky Fruits 6 Reels,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000164.png
00000004-0000-5000-9000-000000000165,Cavemen and Dinosaurs,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000165.png
00000004-0000-5000-9000-000000000166,Easter Frog,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000166.png
00000004-0000-5000-9000-000000000167,Richness Factory,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000167.png
00000004-0000-5000-9000-000000000168,40 Golden Coins,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000168.png
00000004-0000-5000-9000-000000000169,5 Glossy Hot,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000169.png
00000004-0000-5000-9000-000000000170,Extra Crown,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000170.png
00000004-0000-5000-9000-000000000171,Kemets Treasures,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000171.png
00000004-0000-5000-9000-000000000172,Princess 20 Golden Coins,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000172.png
